CUSTOMER_CODE,INST_CAPACITY,WTG_MODEL_NAME,STATE,ITEM_CODE,RELATED_TO,CALL_STATUS,Closure Range,Closure Days,VIOLATED
CCC00076,C6,W12,GU,IC1,RT013,CS1,CR4,118.8530817,1
CCF00020,C5,W9,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCG00066,C6,W14,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCE00050,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCV00078,C3,W2,TN,IC1,RT013,CS1,CR3,23.01449275,1
CCR00112,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCA00106,C3,W2,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCB00109,C3,W2,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCK00106,C8,W15,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCI00035,C8,W15,MH,IC1,RT031,CS1,CR2,5.957429319,1
CCS00095,C2,W1,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCS00059,C2,W1,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCR00112,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCR00059,C5,W6,MH,IC1,RT013,CS1,CR1,0.705672787,0
CCG00075,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00032,C3,W2,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCN00039,C6,W12,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C6,W12,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCF00020,C6,W12,GU,IC1,RT013,CS1,CR2,5.957429319,1
CCK00089,C3,W2,RA,IC1,RT013,CS1,CR3,5.957429319,1
CCR00142,C3,W2,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCE00024,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCA00170,C3,W2,RA,IC1,RT013,CS1,CR1,0.705672787,0
CCK00106,C8,W15,RA,IC1,RT013,CS1,CR3,5.957429319,1
CCD00001,C6,W14,RA,IC1,RT001,CS1,CR4,118.8530817,1
CCC00071,C5,W4,TN,IC1,RT001,CS1,CR3,5.957429319,1
CCC00071,C5,W4,TN,IC1,RT001,CS1,CR3,5.957429319,1
CCC00071,C5,W4,TN,IC1,RT001,CS1,CR3,5.957429319,1
CCG00066,C8,W15,GU,IC1,RT013,CS1,CR2,0.705672787,1
CCS00329,C3,W2,RA,IC1,RT013,CS1,CR3,23.01449275,1
CCS00197,C3,W2,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCR00112,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCF00019,C6,W14,RA,IC1,RT013,CS1,CR3,5.957429319,1
CCE00024,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCE00050,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCV00005,C4,W3,RA,IC1,RT013,CS1,CR3,5.957429319,1
CCB00051,C5,W9,MH,IC1,RT013,CS1,CR1,0.705672787,0
CCA00148,C5,W5,MH,IC1,RT013,CS1,CR4,118.8530817,1
CCS00011,C2,W1,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCS00211,C6,W12,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCK00004,C6,W14,KA,IC1,RT013,CS1,CR3,5.957429319,1
CCC00075,C8,W15,RA,IC2,RT033,CS1,CR3,23.01449275,1
CCH00005,C5,W4,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCE00050,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCE00050,C5,W7,RA,IC1,RT013,CS1,CR4,118.8530817,1
CCS00092,C5,W4,KA,IC1,RT013,CS1,CR2,5.957429319,1
CCK00004,C5,W10,MH,IC1,RT013,CS1,CR3,5.957429319,1
CCR00112,C5,W6,RA,IC1,RT013,CS1,CR1,0.705672787,1
CCR00142,C3,W2,RA,IC1,RT013,CS1,CR3,5.957429319,1
CCK00008,C5,W6,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCF00019,C6,W12,MH,IC1,RT013,CS1,CR1,0.705672787,0
CCA00032,C2,W1,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00032,C3,W2,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCA00032,C3,W2,RA,IC1,RT013,CS1,CR2,5.957429319,1
CCV00005,C4,W3,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCM00044,C5,W9,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCS00121,C5,W6,MH,IC1,RT013,CS1,CR2,5.957429319,1
CCS00121,C5,W6,MH,IC1,RT013,CS1,CR2,5.957429319,1
